scenario,seed,policy,bugs_at_20,bugs_at_50,tests_to_all
semantic_themes,0,Random,4,12,53
semantic_themes,0,QA order,3,7,65
semantic_themes,0,Feature-stratified,6,11,54
semantic_themes,0,Diversity (One-Hot),3,10,58
semantic_themes,0,GP+UCB (One-Hot),6,10,61
semantic_themes,0,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,0,GP+UCB (TF-IDF + SVD),7,13,29
semantic_themes,0,Diversity (Multilingual E5),4,8,67
semantic_themes,0,GP+UCB (Multilingual E5),12,13,24
semantic_themes,1,Random,2,9,69
semantic_themes,1,QA order,0,6,65
semantic_themes,1,Feature-stratified,3,7,64
semantic_themes,1,Diversity (One-Hot),2,9,66
semantic_themes,1,GP+UCB (One-Hot),5,10,61
semantic_themes,1,Diversity (TF-IDF + SVD),3,9,69
semantic_themes,1,GP+UCB (TF-IDF + SVD),8,13,27
semantic_themes,1,Diversity (Multilingual E5),1,7,67
semantic_themes,1,GP+UCB (Multilingual E5),6,13,50
semantic_themes,2,Random,3,6,68
semantic_themes,2,QA order,2,7,64
semantic_themes,2,Feature-stratified,5,8,62
semantic_themes,2,Diversity (One-Hot),4,10,66
semantic_themes,2,GP+UCB (One-Hot),7,10,61
semantic_themes,2,Diversity (TF-IDF + SVD),4,9,69
semantic_themes,2,GP+UCB (TF-IDF + SVD),8,13,28
semantic_themes,2,Diversity (Multilingual E5),3,9,67
semantic_themes,2,GP+UCB (Multilingual E5),9,13,24
semantic_themes,3,Random,4,11,58
semantic_themes,3,QA order,2,8,64
semantic_themes,3,Feature-stratified,5,10,66
semantic_themes,3,Diversity (One-Hot),3,10,66
semantic_themes,3,GP+UCB (One-Hot),7,10,62
semantic_themes,3,Diversity (TF-IDF + SVD),4,8,69
semantic_themes,3,GP+UCB (TF-IDF + SVD),7,13,27
semantic_themes,3,Diversity (Multilingual E5),3,8,67
semantic_themes,3,GP+UCB (Multilingual E5),10,13,27
semantic_themes,4,Random,4,9,68
semantic_themes,4,QA order,2,8,64
semantic_themes,4,Feature-stratified,5,10,61
semantic_themes,4,Diversity (One-Hot),4,11,66
semantic_themes,4,GP+UCB (One-Hot),7,12,56
semantic_themes,4,Diversity (TF-IDF + SVD),4,8,69
