TCS ID,Menu,Test Case Scenario,Test Step,Expected Result,dummy_fault_theme,one_hot_discovery_test,one_hot_cumulative_cost,tf_idf_svd_discovery_test,tf_idf_svd_cumulative_cost,multilingual_e5_discovery_test,multilingual_e5_cumulative_cost
FC-GPR-002,Profil Grup,"Tombol ""Add Participant"" tampil bagi pembuat grup",1. Buka Profil Grup sebagai user yang membuat grup tersebut,"1. Tombol ""Add Participant"" tampil dan dapat ditekan",group_membership_permission,11,72.0,11,72.0,25,196.0
FC-GPR-003,Profil Grup,"Tombol ""Add Participant"" tidak tampil bagi anggota grup selain pembuat",1. Buka Profil Grup sebagai anggota yang bukan pembuat grup,"1. Tombol ""Add Participant"" tidak ditampilkan",group_membership_permission,20,113.0,21,135.0,27,205.0
FC-NCP-004,Buat Chat Baru,Menambahkan partisipan baru ke grup yang sudah ada,"1. Buka Profil Grup sebagai pembuat grup
2. Tekan tombol ""Add Participant""
3. Pilih satu atau lebih user baru
4. Tekan tombol ""Next""","1. Menampilkan Toast ""Success Adding new Participant""
2. User yang ditambahkan langsung tergabung sebagai partisipan grup",group_membership_permission,10,70.0,10,70.0,26,198.0
FC-NCP-005,Buat Chat Baru,"Daftar pengguna pada mode ""Add Participant"" tidak menampilkan anggota grup yang sudah tergabung","1. Buka Profil Grup sebagai pembuat grup
2. Tekan tombol ""Add Participant""
3. Amati daftar user yang ditampilkan",1. User yang sudah menjadi anggota grup tidak muncul pada daftar pilihan,group_membership_permission,24,144.0,27,186.0,29,223.0
FC-CRG-004,Ruang Obrolan,"Status pesan menjadi ""read"" hanya setelah seluruh anggota grup membaca pesan","1. Kirim pesan pada grup beranggotakan lebih dari 2 orang
2. Sebagian anggota membuka & membaca pesan, sebagian belum
3. Amati status centang pesan","1. Status pesan tetap centang tunggal (belum ""read"" penuh) selama belum seluruh anggota lain membaca; berubah centang hijau ganda hanya setelah seluruh anggota membaca",message_delivery_and_read_state,41,283.0,17,100.0,13,95.0
FC-CRG-007,Ruang Obrolan,Jumlah pesan belum dibaca (unread) direset saat keluar dari ruang obrolan grup,"1. Buka ruang obrolan grup yang memiliki pesan belum dibaca
2. Keluar dari ruang obrolan (tekan tombol back)
3. Amati badge unread pada halaman Main",1. Badge unread untuk grup tersebut hilang/menjadi 0,message_delivery_and_read_state,42,291.0,20,128.0,14,103.0
FC-CRP-007,Ruang Obrolan,Pesan yang diterima otomatis ditandai sudah dibaca saat ruang obrolan dibuka,"1. User B mengirim pesan ke User A saat User A belum membuka ruang obrolan
2. User A membuka ruang obrolan tersebut","1. Seluruh pesan yang termuat langsung berstatus ""read"" (ditandai waktu baca) begitu ruang obrolan dibuka, tanpa perlu discroll ke pesan tersebut",message_delivery_and_read_state,51,401.0,19,120.0,16,118.0
FC-CRP-008,Ruang Obrolan,Melihat info pengiriman (Delivered/Read) pada pesan yang dikirim sendiri,"1. Kirim pesan pada ruang obrolan personal
2. Tekan lama (long-press) pesan tersebut untuk memilihnya
3. Tekan tombol info",1. Menampilkan halaman Info Pesan dengan waktu Delivered dan Read,message_delivery_and_read_state,59,504.0,37,270.0,19,146.0
FC-MIF-001,Info Pesan,Menampilkan waktu Delivered dan Read pada percakapan personal,"1. Kirim pesan pada ruang obrolan personal
2. Pilih pesan tersebut, tekan tombol info","1. Menampilkan waktu Delivered dan waktu Read (atau ""-"" jika belum terjadi)",message_delivery_and_read_state,7,56.0,7,56.0,7,56.0
FC-MIF-002,Info Pesan,"Status ""Delivered"" terisi sebelum status ""Read"" pada Info Pesan","1. Kirim pesan pada ruang obrolan personal, tunggu hingga penerima membaca pesan
2. Buka Info Pesan pesan tersebut","1. Waktu Delivered terisi terlebih dahulu sesaat setelah pesan diterima perangkat penerima, sebelum status Read terisi",message_delivery_and_read_state,28,172.0,22,145.0,12,87.0
FC-MIF-003,Info Pesan,"Menampilkan daftar ""Read By"" pada percakapan grup","1. Kirim pesan pada ruang obrolan grup
2. Pilih pesan tersebut, tekan tombol info","1. Menampilkan daftar seluruh partisipan grup beserta waktu baca masing-masing (atau ""-"" jika belum membaca)",message_delivery_and_read_state,22,130.0,26,175.0,17,130.0
FC-MN-006,Main,Menampilkan badge jumlah pesan belum dibaca (unread count),"1. Login dengan User A
2. Dari perangkat lain, User B mengirimkan beberapa pesan ke User A tanpa dibuka User A
3. Amati halaman Main milik User A",1. Item percakapan menampilkan badge jumlah pesan sesuai jumlah pesan yang belum dibaca,message_delivery_and_read_state,12,74.0,12,74.0,10,70.0
FC-MN-007,Main,Menampilkan status centang (sent/read) pada percakapan personal yang dikirim user,"1. Login dengan User A dan kirim pesan ke User B
2. Amati item percakapan pada halaman Main milik User A sebelum dan sesudah User B membuka & membaca pesan","1. Status centang tunggal (sent) tampil sebelum dibaca, berubah menjadi centang ganda hijau (read) setelah User B membuka percakapan",message_delivery_and_read_state,17,97.0,16,92.0,11,77.0
